country;continent;year;lifeExp;pop;gdpPercap
Afghanistan;Asia;1952;28.801;8425333;7.794.453.145
Afghanistan;Asia;1957;30.332;9240934;8.208.530.296
Afghanistan;Asia;1962;31.997;10267083;8.531.007.099.999.990
Afghanistan;Asia;1967;34.02;11537966;8.361.971.382
Afghanistan;Asia;1972;36.088;13079460;7.399.811.057.999.990
Afghanistan;Asia;1977;38.438;14880372;78.611.336
Afghanistan;Asia;1982;39.854;12881816;9.780.114.388
Afghanistan;Asia;1987;40.822;13867957;8.523.959.447.999.990
Afghanistan;Asia;1992;41.674;16317921;6.493.413.952.000.000
Afghanistan;Asia;1997;4.176.300.000.000.000;22227415;635.341.351
Afghanistan;Asia;2002;42.129;25268405;7.267.340.548
Afghanistan;Asia;2007;43.828;31889923;9.745.803.384
Albania;Europe;1952;55.23;1282697;1.601.056.136
Albania;Europe;1957;59.28;1476505;1.942.284.244
Albania;Europe;1962;64.82;1728137;2.312.888.958
Albania;Europe;1967;66.22;1984060;2.760.196.931
Albania;Europe;1972;67.69;2263554;3.313.422.188
Albania;Europe;1977;68.93;2509048;3.533.003.910.000.000
Albania;Europe;1982;70.42;2780097;3.630.880.722
Albania;Europe;1987;72.0;3075321;3.738.932.735
Albania;Europe;1992;71.581;3326498;2.497.437.901
Albania;Europe;1997;72.95;3428038;3.193.054.604
Albania;Europe;2002;7.565.100.000.000.000;3508512;4.604.211.737
Albania;Europe;2007;76.423;3600523;5.937.029.525.999.990
Algeria;Africa;1952;43.077;9279525;2.449.008.185
Algeria;Africa;1957;45.685;10270856;3.013.976.023
Algeria;Africa;1962;48.303;11000948;255.081.688
Algeria;Africa;1967;51.407;12760499;3.246.991.771
Algeria;Africa;1972;54.518;14760787;4.182.663.766
Algeria;Africa;1977;58.014;17152804;4.910.416.756.000.000
Algeria;Africa;1982;61.368;20033753;5.745.160.213
Algeria;Africa;1987;6.579.899.999.999.990;23254956;5.681.358.539
Algeria;Africa;1992;67.744;26298373;5.023.216.647
Algeria;Africa;1997;69.152;29072015;4.797.295.051
Algeria;Africa;2002;70.994;31287142;5.288.040.382
Algeria;Africa;2007;72.301;33333216;6.223.367.465
Angola;Africa;1952;30.015;4232095;3.520.610.273
Angola;Africa;1957;31.999;4561361;3.827.940.465
Angola;Africa;1962;34.0;4826015;4.269.276.742
Angola;Africa;1967;35.985;5247469;5.522.776.375
Angola;Africa;1972;37.928;5894858;54.732.880.049.999.900
Angola;Africa;1977;39.483;6162675;3.008.647.355
Angola;Africa;1982;39.942;7016384;2.756.953.672
Angola;Africa;1987;39.906;7874230;2.430.208.311
Angola;Africa;1992;40.647;8735988;2.627.845.685
Angola;Africa;1997;40.963;9875024;2.277.140.884
Angola;Africa;2002;41.003;10866106;2.773.287.312
Angola;Africa;2007;42.731;12420476;4.797.231.267
Argentina;Americas;1952;62.485;17876956;5.911.315.053
Argentina;Americas;1957;64.399;19610538;68.568.562.120.000.000
Argentina;Americas;1962;65.142;21283783;7.133.166.023.000.000
Argentina;Americas;1967;65.634;22934225;8.052.953.020.999.990
Argentina;Americas;1972;67.065;24779799;9.443.038.526
Argentina;Americas;1977;6.848.100.000.000.000;26983828;1.007.902.674
Argentina;Americas;1982;69.942;29341374;8.997.897.412
Argentina;Americas;1987;70.774;31620918;9.139.671.389
Argentina;Americas;1992;71.868;33958947;930.841.871
Argentina;Americas;1997;73.275;36203463;1.096.728.195
Argentina;Americas;2002;74.34;38331121;8.797.640.716
Argentina;Americas;2007;75.32;40301927;1.277.937.964
Armenia;;1992;68.663;3378331;14.429.377.960.000.000
Armenia;;1997;70.377;3059000;179.134.719
Armenia;;2002;71.403;3013818;2.692.304.039
Armenia;;2007;71.965;2971650;4.942.543.911
Aruba;;1972;70.941;59461;4.939.758.007
Aruba;;1977;71.83;59412;7.390.359.942
Aruba;;1982;74.116;61569;1.087.491.495
Aruba;;1987;74.494;65415;176.743.389
Aruba;;1992;74.108;67174;2.512.054.961
Aruba;;1997;7.301.100.000.000.000;68341;2.648.366.862
Aruba;;2002;7.345.100.000.000.000;70441;2.646.787.062
Aruba;;2007;7.423.899.999.999.990;72194;2.723.067.521
Australia;;1950;69.02;8267337;1.003.112.138
Australia;;1951;68.72;8510600;1.016.073.672
Australia;;1952;69.12;8691212;1.003.959.564
Australia;;1953;69.7;8857924;1.015.791.298
Australia;;1954;69.85;9064017;1.054.408.738
Australia;;1955;70.17;9277087;10.864.617.740.000.000
Australia;;1956;70.05;9500606;1.097.412.837
Australia;;1957;70.33;9712569;1.094.964.959
Australia;;1958;70.88;9915267;1.124.095.886
Australia;;1959;70.45;10131729;1.167.807.069
Australia;;1960;70.89;10361273;1.189.796.372
Australia;;1961;71.16;10598814;1.171.150.002
Australia;;1962;70.93;10794968;1.221.722.686
Australia;;1963;70.99;11001483;1.272.221.702
Australia;;1964;70.65;11218304;1.332.989.726
Australia;;1965;70.98;11439384;1.373.992.688
Australia;;1966;70.82;11655083;1.386.095.806
Australia;;1967;71.1;11872264;1.452.612.465
Australia;;1968;70.73;12101660;1.508.855.836
Australia;;1969;71.14;12379384;15.647.109.380.000.000
Australia;;1970;70.81;12660160;1.627.314.214
Australia;;1971;71.41;12937200;166.331.259
Australia;;1972;71.93;13177000;1.678.862.948
Australia;;1973;72.14;13380400;1.742.971.805
Australia;;1974;71.89;13599100;1.757.458.167
Australia;;1975;72.84;13771400;1.782.457.038
Australia;;1976;72.88;13915500;1.835.106.793
Australia;;1977;73.49;14074100;1.833.419.751
Australia;;1978;73.88;14248600;186.350.381
Australia;;1979;74.44;14421900;1.938.063.562
Australia;;1980;74.6;14615900;1.950.555.452
Australia;;1981;74.97;14923260;1.984.187.946
Australia;;1982;74.74;15184200;1.947.700.928
Australia;;1983;75.55;15393500;1.921.456.115
Australia;;1984;76.02;15579400;2.029.525.294
Australia;;1985;75.46;15788300;210.404.946
Australia;;1986;76.13;16018350;2.116.881.051
Australia;;1987;76.32;16257249;2.188.888.903
Australia;;1988;76.36;16520206;2.250.819.078
Australia;;1989;76.46;16780235;2.313.397.635
Australia;;1990;77.06;17022133;2.315.189.034
Australia;;1991;77.55;17257526;2.289.385.675
Australia;;1992;77.56;17481977;2.342.476.683
Australia;;1993;78.1;17688687;2.405.310.102
Australia;;1994;78.1;17892557;2.478.017.241
Australia;;1995;78.49;18116171;2.551.871.544
Australia;;1996;78.56;18348078;2.615.113.247
Australia;;1997;78.83;18565243;2.699.793.657
Australia;;1998;79.33;18768789;28.169.153.410.000.000
Australia;;1999;79.58;18968247;289.832.672
Australia;;2000;79.99;19164620;292.415.145
Australia;;2001;80.35;19357594;3.004.324.277
Australia;;2002;80.37;19546792;3.068.775.473
Australia;;2003;80.78;19731984;3.163.424.243
Australia;;2004;81.15;19913144;3.209.850.615
Australia;;2007;81.235;20434176;34.435.367.439.999.900
Austria;Europe;1950;64.88;6935100;5.733.098.114
Austria;Europe;1951;65.26;6935451;6.124.928.282
Austria;Europe;1952;66.8;6927772;6.137.076.492
Austria;Europe;1953;67.29;6932483;6.399.786.948
Austria;Europe;1954;67.32;6940209;7.045.971.274
Austria;Europe;1955;67.6;6946885;7.817.250.888
Austria;Europe;1956;67.72;6952359;8.348.449.465
Austria;Europe;1957;67.48;6965860;884.259.803
Austria;Europe;1958;68.49;6987358;9.137.296.178
Austria;Europe;1959;68.42;7014331;9.360.853.847
Austria;Europe;1960;68.78;7047437;1.008.383.005
Austria;Europe;1961;69.75;7086299;105.609.654
Austria;Europe;1962;69.54;7129864;1.075.072.111
